idOrder,scheduleDate,deliveryDate,diffDays,diffHours,provider,shippingDateSelectedByUser
1946946,2021-08-02 07:08:00,2021-08-04 17:08:00,2,58,800149695,2021-08-04
1946949,2021-08-02 07:08:00,2021-08-04 17:08:00,2,58,800149695,2021-08-04
1946981,2021-08-02 07:08:00,2021-08-04 17:08:00,2,58,800149695,2021-08-04
1946985,2021-08-02 07:08:00,2021-08-04 17:08:00,2,58,800149695,2021-08-04
1946986,2021-08-02 07:08:00,2021-08-04 02:08:00,1,43,800149695,2021-08-04
1946994,2021-08-02 07:08:00,2021-08-04 17:08:00,2,58,800149695,2021-08-04
1946996,2021-08-02 07:08:00,2021-08-04 17:08:00,2,58,800149695,2021-08-04
1947043,2021-08-02 07:08:00,2021-08-03 06:08:00,0,23,800149695,2021-08-04
1947047,2021-08-02 07:08:00,2021-08-04 17:08:00,2,58,800149695,2021-08-04
1947049,2021-08-02 07:08:00,2021-08-04 17:08:00,2,58,800149695,2021-08-04
1947060,2021-08-02 07:08:00,2021-08-05 02:08:00,2,66,800149695,2021-08-04
1947063,2021-08-02 07:08:00,2021-08-04 17:08:00,2,58,800149695,2021-08-04
1947068,2021-08-02 07:08:00,2021-08-04 17:08:00,2,58,800149695,2021-08-04
1947080,2021-08-02 07:08:00,2021-08-04 17:08:00,2,58,800149695,2021-08-04
1947082,2021-08-02 07:08:00,2021-08-04 17:08:00,2,58,800149695,2021-08-04
1947115,2021-08-02 07:08:00,2021-08-04 17:08:00,2,57,800149695,2021-08-04
1947157,2021-08-02 07:08:00,2021-08-05 02:08:00,2,66,800149695,2021-08-04
1947192,2021-08-02 07:08:00,2021-08-04 17:08:00,2,57,800149695,2021-08-04
1947193,2021-08-02 07:08:00,2021-08-04 17:08:00,2,57,800149695,2021-08-04
1947198,2021-08-02 07:08:00,2021-08-04 17:08:00,2,57,800149695,2021-08-04
1947200,2021-08-02 07:08:00,2021-08-05 02:08:00,2,66,800149695,2021-08-04
1947205,2021-08-02 07:08:00,2021-08-04 17:08:00,2,57,800149695,2021-08-04
